patient_aggregation,score_mode,class_name,patient_count,image_count,mean_score,std_score,detected_count,detection_rate
top2_mean,retina_weighted_mse,DME+DRUSEN,8,27,0.0028664242272498086,0.00198305893080972,5,0.625
top2_mean,retina_weighted_mse,DME+NORMAL,6,26,0.002770790883611577,0.0018303482374272884,3,0.5
top2_mean,retina_weighted_mse,DRUSEN,145,211,0.0015432243311681367,0.0008720384190961282,15,0.10344827586206896
top2_mean,retina_weighted_mse,DRUSEN+NORMAL,4,15,0.0011320931080263108,0.000371687129093161,0,0.0
top2_mean,retina_weighted_mse,NORMAL,149,206,0.0009774532498816816,0.0003459612926549818,3,0.020134228187919462
top2_mean,topk_mse_5,CNV,150,200,0.03578262152150273,0.013708990973320066,111,0.74
top2_mean,topk_mse_5,CNV+DME,5,31,0.048202142119407654,0.026899028431305805,3,0.6
top2_mean,topk_mse_5,CNV+DME+DRUSEN,2,9,0.03865998983383179,0.015453342204049723,2,1.0
top2_mean,topk_mse_5,CNV+DME+NORMAL,1,5,0.021990676410496235,,0,0.0
top2_mean,topk_mse_5,CNV+DRUSEN,9,35,0.029995682804534834,0.011148229855404649,4,0.4444444444444444
top2_mean,topk_mse_5,CNV+DRUSEN+NORMAL,1,4,0.035479504615068436,,1,1.0
top2_mean,topk_mse_5,CNV+NORMAL,10,33,0.027451723744161428,0.015248239793987307,3,0.3
top2_mean,topk_mse_5,DME,145,198,0.031364521207609054,0.022065564511997284,66,0.45517241379310347
top2_mean,topk_mse_5,DME+DRUSEN,8,27,0.032788912823889405,0.023762187686958543,5,0.625
top2_mean,topk_mse_5,DME+NORMAL,6,26,0.03392441900602231,0.026024946603656913,3,0.5
top2_mean,topk_mse_5,DRUSEN,145,211,0.015857198502033435,0.011631312699755569,10,0.06896551724137931
top2_mean,topk_mse_5,DRUSEN+NORMAL,4,15,0.011774842336308211,0.004474864407734902,0,0.0
top2_mean,topk_mse_5,NORMAL,149,206,0.008483894988144404,0.004410163583425579,2,0.013422818791946308
top2_mean,topk_mse_10,CNV,150,200,0.02224931249084572,0.00826124543151588,119,0.7933333333333333
top2_mean,topk_mse_10,CNV+DME,5,31,0.029549897834658622,0.015697337172286448,3,0.6
top2_mean,topk_mse_10,CNV+DME+DRUSEN,2,9,0.023843536619096994,0.009455789684666325,2,1.0
top2_mean,topk_mse_10,CNV+DME+NORMAL,1,5,0.01490865321829915,,0,0.0
top2_mean,topk_mse_10,CNV+DRUSEN,9,35,0.018860966549254954,0.0072954989354980125,5,0.5555555555555556
top2_mean,topk_mse_10,CNV+DRUSEN+NORMAL,1,4,0.02118078153580427,,1,1.0
top2_mean,topk_mse_10,CNV+NORMAL,10,33,0.016772958752699196,0.008725919576818274,5,0.5
top2_mean,topk_mse_10,DME,145,198,0.019636386642553683,0.013098261850532414,77,0.5310344827586206
top2_mean,topk_mse_10,DME+DRUSEN,8,27,0.020135714556090534,0.014677106309713984,5,0.625
top2_mean,topk_mse_10,DME+NORMAL,6,26,0.020603629100757342,0.014649373551463653,4,0.6666666666666666
top2_mean,topk_mse_10,DRUSEN,145,211,0.009683148160673165,0.006555319499702271,10,0.06896551724137931
top2_mean,topk_mse_10,DRUSEN+NORMAL,4,15,0.007399685651762411,0.002788330259015078,0,0.0
top2_mean,topk_mse_10,NORMAL,149,206,0.005520170418570606,0.002437552983093913,2,0.013422818791946308
top2_mean,ensemble_mse_l1,CNV,150,200,5.758420277884296,2.5440084759033925,104,0.6933333333333334
top2_mean,ensemble_mse_l1,CNV+DME,5,31,7.503901975982714,3.886108413933925,3,0.6
top2_mean,ensemble_mse_l1,CNV+DME+DRUSEN,2,9,6.362609801035334,2.951188675039003,2,1.0
top2_mean,ensemble_mse_l1,CNV+DME+NORMAL,1,5,4.779011211612355,,1,1.0
top2_mean,ensemble_mse_l1,CNV+DRUSEN,9,35,4.818529285671557,2.3138511298828877,3,0.3333333333333333
top2_mean,ensemble_mse_l1,CNV+DRUSEN+NORMAL,1,4,4.874186420237047,,1,1.0
